Series_Title,Gross,Role,Actor
Jurassic Park,402453882.0,Star1,Sam Neill
In the Name of the Father,25010410.0,Star1,Daniel Day-Lewis
Ba wang bie ji,5216888.0,Star1,Leslie Cheung
Dà hóng denglong gaogao guà,2603061.0,Star1,Gong Li
Dead Poets Society,95860116.0,Star1,Robin Williams
Stand by Me,52287414.0,Star1,Wil Wheaton
Platoon,138530565.0,Star1,Charlie Sheen
"Paris, Texas",2181987.0,Star1,Harry Dean Stanton
Kaze no tani no Naushika,495770.0,Star1,Sumi Shimamoto
The Thing,13782838.0,Star1,Kurt Russell
Pink Floyd: The Wall,22244207.0,Star1,Bob Geldof
Fitzcarraldo,,Star1,Klaus Kinski
Fanny och Alexander,4971340.0,Star1,Bertil Guve
Blade Runner,32868943.0,Star1,Harrison Ford
The Elephant Man,,Star1,Anthony Hopkins
Life of Brian,20045115.0,Star1,Graham Chapman
The Deer Hunter,48979328.0,Star1,Robert De Niro
Rocky,117235247.0,Star1,Sylvester Stallone
Network,,Star1,Faye Dunaway
Barry Lyndon,,Star1,Ryan O'Neal
Zerkalo,177345.0,Star1,Margarita Terekhova
Chinatown,29000000.0,Star1,Jack Nicholson
Paper Moon,30933743.0,Star1,Ryan O'Neal
Viskningar och rop,1742348.0,Star1,Harriet Andersson
Solaris,,Star1,Natalya Bondarchuk
Le samouraï,39481.0,Star1,Alain Delon
Cool Hand Luke,16217773.0,Star1,Paul Newman
Persona,,Star1,Bibi Andersson
Andrei Rublev,102021.0,Star1,Anatoliy Solonitsyn
La battaglia di Algeri,55908.0,Star1,Brahim Hadjadj
El ángel exterminador,,Star1,Silvia Pinal
What Ever Happened to Baby Jane?,4050000.0,Star1,Bette Davis
Sanjuro,,Star1,Toshirô Mifune
The Man Who Shot Liberty Valance,,Star1,James Stewart
Ivanovo detstvo,,Star1,Eduard Abalov
Jungfrukällan,1526000.0,Star1,Max von Sydow
Inherit the Wind,,Star1,Spencer Tracy
Les quatre cents coups,,Star1,Jean-Pierre Léaud
Ben-Hur,74700000.0,Star1,Charlton Heston
Kakushi-toride no san-akunin,,Star1,Toshirô Mifune
Le notti di Cabiria,752045.0,Star1,Giulietta Masina
Kumonosu-jô,,Star1,Toshirô Mifune
The Bridge on the River Kwai,44908000.0,Star1,William Holden
On the Waterfront,9600000.0,Star1,Marlon Brando
Le salaire de la peur,,Star1,Yves Montand
Ace in the Hole,3969893.0,Star1,Kirk Douglas
White Heat,,Star1,James Cagney
The Third Man,449191.0,Star1,Orson Welles
The Red Shoes,10900000.0,Star1,Emeric Pressburger
The Shop Around the Corner,203300.0,Star1,Margaret Sullavan
Rebecca,4360000.0,Star1,Laurence Olivier
Mr. Smith Goes to Washington,9600000.0,Star1,James Stewart
Gone with the Wind,198676459.0,Star1,George Cukor
La Grande Illusion,172885.0,Star1,Jean Gabin
It Happened One Night,4360000.0,Star1,Clark Gable
La passion de Jeanne d'Arc,21877.0,Star1,Maria Falconetti
The Circus,,Star1,Charles Chaplin
Sunrise: A Song of Two Humans,539540.0,Star1,George O'Brien
The General,1033895.0,Star1,Buster Keaton
Das Cabinet des Dr. Caligari,,Star1,Werner Krauss
Badhaai ho,,Star1,Ayushmann Khurrana
Togo,,Star1,Willem Dafoe
Airlift,,Star1,Akshay Kumar
Bajrangi Bhaijaan,8178001.0,Star1,Salman Khan
Baby,,Star1,Akshay Kumar
La La Land,151101803.0,Star1,Ryan Gosling
Lion,51739495.0,Star1,Dev Patel
The Martian,228433663.0,Star1,Matt Damon
Zootopia,341268248.0,Star1,Rich Moore
Bãhubali: The Beginning,6738000.0,Star1,Prabhas
Kaguyahime no monogatari,1506975.0,Star1,Chloë Grace Moretz
Wonder,132422809.0,Star1,Jacob Tremblay
Gully Boy,5566534.0,Star1,Vijay Varma
Special Chabbis,1079369.0,Star1,Akshay Kumar
Short Term 12,1010414.0,Star1,Brie Larson
Serbuan maut 2: Berandal,2625803.0,Star1,Iko Uwais
The Imitation Game,91125683.0,Star1,Benedict Cumberbatch
Guardians of the Galaxy,333176600.0,Star1,Chris Pratt
Blade Runner 2049,92054159.0,Star1,Harrison Ford
Her,25568251.0,Star1,Joaquin Phoenix
Bohemian Rhapsody,216428042.0,Star1,Rami Malek
The Revenant,183637894.0,Star1,Leonardo DiCaprio
The Perks of Being a Wallflower,17738570.0,Star1,Logan Lerman
Tropa de Elite 2: O Inimigo Agora é Outro,100119.0,Star1,Wagner Moura
The King's Speech,138797449.0,Star1,Colin Firth
The Help,169708112.0,Star1,Emma Stone
Deadpool,363070709.0,Star1,Ryan Reynolds
Darbareye Elly,106662.0,Star1,Golshifteh Farahani
Dev.D,10950.0,Star1,Abhay Deol
Yip Man,,Star1,Donnie Yen
My Name Is Khan,4018695.0,Star1,Shah Rukh Khan
Nefes: Vatan Sagolsun,,Star1,Erdem Can
Slumdog Millionaire,141319928.0,Star1,Loveleen Tandan
Black Swan,106954678.0,Star1,Natalie Portman
Tropa de Elite,8060.0,Star1,Wagner Moura
The Avengers,623279547.0,Star1,Robert Downey Jr.
Persepolis,4445756.0,Star1,Marjane Satrapi
Dallas Buyers Club,27298285.0,Star1,Matthew McConaughey
The Pursuit of Happyness,163566459.0,Star1,Will Smith
Blood Diamond,57366262.0,Star1,Leonardo DiCaprio
The Bourne Ultimatum,227471070.0,Star1,Matt Damon
Bin-jip,238507.0,Star1,Seung-Yun Lee
Sin City,74103820.0,Star1,Quentin Tarantino
Le scaphandre et le papillon,5990075.0,Star1,Laura Obiols
G.O.R.A.,,Star1,Cem Yilmaz
Ratatouille,206445654.0,Star1,Jan Pinkava
Casino Royale,167445960.0,Star1,Daniel Craig
Kill Bill: Vol. 2,66208183.0,Star1,Uma Thurman
Vozvrashchenie,502028.0,Star1,Vladimir Garin
Bom Yeoareum Gaeul Gyeoul Geurigo Bom,2380788.0,Star1,Ki-duk Kim
Mar adentro,2086345.0,Star1,Javier Bardem
Cinderella Man,61649911.0,Star1,Russell Crowe
Kal Ho Naa Ho,1787378.0,Star1,Preity Zinta
Mou gaan dou,169659.0,Star1,Alan Mak
Pirates of the Caribbean: The Curse of the Black Pearl,305413918.0,Star1,Johnny Depp
Big Fish,66257002.0,Star1,Ewan McGregor
The Incredibles,261441092.0,Star1,Craig T. Nelson
Yeopgijeogin geunyeo,,Star1,Tae-Hyun Cha
Dogville,1530386.0,Star1,Nicole Kidman
Vizontele,,Star1,Ömer Faruk Sorak
Donnie Darko,1480006.0,Star1,Jake Gyllenhaal
Magnolia,22455976.0,Star1,Tom Cruise
Dancer in the Dark,4184036.0,Star1,Björk
The Straight Story,6203044.0,Star1,Richard Farnsworth
Pâfekuto burû,776665.0,Star1,Junko Iwao
Festen,1647780.0,Star1,Ulrich Thomsen
Central do Brasil,5595428.0,Star1,Fernanda Montenegro
The Iron Giant,23159305.0,Star1,Eli Marienthal
Knockin' on Heaven's Door,3296.0,Star1,Til Schweiger
Sling Blade,24475416.0,Star1,Billy Bob Thornton
Secrets & Lies,13417292.0,Star1,Timothy Spall
Twelve Monkeys,57141459.0,Star1,Bruce Willis
Kôkaku Kidôtai,515905.0,Star1,Atsuko Tanaka
The Nightmare Before Christmas,75082668.0,Star1,Danny Elfman
Groundhog Day,70906973.0,Star1,Bill Murray
Bound by Honor,4496583.0,Star1,Damian Chapa
Scent of a Woman,63895607.0,Star1,Al Pacino
Aladdin,217350219.0,Star1,John Musker
JFK,70405498.0,Star1,Kevin Costner
Beauty and the Beast,218967620.0,Star1,Kirk Wise
Dances with Wolves,184208848.0,Star1,Kevin Costner
Do the Right Thing,27545445.0,Star1,Danny Aiello
Rain Man,178800000.0,Star1,Dustin Hoffman
Akira,553171.0,Star1,Mitsuo Iwata
The Princess Bride,30857814.0,Star1,Cary Elwes
Der Himmel über Berlin,3333969.0,Star1,Bruno Ganz
Au revoir les enfants,4542825.0,Star1,Gaspard Manesse
Tenkû no shiro Rapyuta,,Star1,Mayumi Tanaka
The Terminator,38400000.0,Star1,Arnold Schwarzenegger
Gandhi,52767889.0,Star1,Ben Kingsley
Kagemusha,,Star1,Tatsuya Nakadai
Being There,30177511.0,Star1,Peter Sellers
Annie Hall,39200000.0,Star1,Woody Allen
Jaws,260000000.0,Star1,Roy Scheider
Dog Day Afternoon,50000000.0,Star1,Al Pacino
Young Frankenstein,86300000.0,Star1,Gene Wilder
Papillon,53267000.0,Star1,Steve McQueen
The Exorcist,232906145.0,Star1,Ellen Burstyn
Sleuth,4081254.0,Star1,Laurence Olivier
The Last Picture Show,29133000.0,Star1,Timothy Bottoms
Fiddler on the Roof,80500000.0,Star1,Topol
Il conformista,541940.0,Star1,Jean-Louis Trintignant
Butch Cassidy and the Sundance Kid,102308889.0,Star1,Paul Newman
Rosemary's Baby,,Star1,Mia Farrow
Planet of the Apes,33395426.0,Star1,Charlton Heston
The Graduate,104945305.0,Star1,Dustin Hoffman
Who's Afraid of Virginia Woolf?,,Star1,Elizabeth Taylor
The Sound of Music,163214286.0,Star1,Julie Andrews
Doctor Zhivago,111722000.0,Star1,Omar Sharif
Per un pugno di dollari,14500000.0,Star1,Clint Eastwood
8½,50690.0,Star1,Marcello Mastroianni
Vivre sa vie: Film en douze tableaux,,Star1,Anna Karina
The Hustler,8284000.0,Star1,Paul Newman
La dolce vita,19516000.0,Star1,Marcello Mastroianni
Rio Bravo,12535000.0,Star1,John Wayne
Anatomy of a Murder,11900000.0,Star1,James Stewart
Touch of Evil,2237659.0,Star1,Charlton Heston
Cat on a Hot Tin Roof,17570324.0,Star1,Elizabeth Taylor
Sweet Smell of Success,,Star1,Burt Lancaster
The Killing,,Star1,Sterling Hayden
The Night of the Hunter,654000.0,Star1,Robert Mitchum
La Strada,,Star1,Anthony Quinn
Les diaboliques,,Star1,Simone Signoret
Stalag 17,,Star1,William Holden
Roman Holiday,,Star1,Gregory Peck
A Streetcar Named Desire,8000000.0,Star1,Vivien Leigh
In a Lonely Place,,Star1,Humphrey Bogart
Kind Hearts and Coronets,,Star1,Dennis Price
Rope,,Star1,James Stewart
Out of the Past,,Star1,Robert Mitchum
Brief Encounter,,Star1,Celia Johnson
Laura,4360000.0,Star1,Gene Tierney
The Best Years of Our Lives,23650000.0,Star1,Myrna Loy
Arsenic and Old Lace,,Star1,Cary Grant
The Maltese Falcon,2108060.0,Star1,Humphrey Bogart
The Grapes of Wrath,55000.0,Star1,Henry Fonda
The Wizard of Oz,2076020.0,Star1,George Cukor
La règle du jeu,,Star1,Marcel Dalio
The Thin Man,,Star1,William Powell
All Quiet on the Western Front,3270000.0,Star1,Lew Ayres
Bronenosets Potemkin,50970.0,Star1,Aleksandr Antonov
Knives Out,165359751.0,Star1,Daniel Craig
Dil Bechara,,Star1,Sushant Singh Rajput
Manbiki kazoku,3313513.0,Star1,Lily Franky
Marriage Story,2000000.0,Star1,Adam Driver
Call Me by Your Name,18095701.0,Star1,Armie Hammer
"I, Daniel Blake",258168.0,Star1,Laura Obiols
Isle of Dogs,32015231.0,Star1,Bryan Cranston
Hunt for the Wilderpeople,5202582.0,Star1,Sam Neill
Captain Fantastic,5875006.0,Star1,Viggo Mortensen
Sing Street,3237118.0,Star1,Ferdia Walsh-Peelo
Thor: Ragnarok,315058289.0,Star1,Chris Hemsworth
Nightcrawler,32381218.0,Star1,Jake Gyllenhaal
Jojo Rabbit,349555.0,Star1,Roman Griffin Davis
Arrival,100546139.0,Star1,Amy Adams
Star Wars: Episode VII - The Force Awakens,936662225.0,Star1,Daisy Ridley
Before Midnight,8114627.0,Star1,Ethan Hawke
X-Men: Days of Future Past,233921534.0,Star1,Patrick Stewart
Bir Zamanlar Anadolu'da,138730.0,Star1,Muhammet Uzuner
The Artist,44671682.0,Star1,Jean Dujardin
Edge of Tomorrow,100206256.0,Star1,Tom Cruise
Amour,6739492.0,Star1,Jean-Louis Trintignant
The Irishman,7000000.0,Star1,Robert De Niro
Un prophète,2084637.0,Star1,Tahar Rahim
Moon,5009677.0,Star1,Sam Rockwell
Låt den rätte komma in,2122065.0,Star1,Kåre Hedebrant
District 9,115646235.0,Star1,Sharlto Copley
The Wrestler,26236603.0,Star1,Mickey Rourke
Jab We Met,410800.0,Star1,Shahid Kapoor
Boyhood,25379975.0,Star1,Ellar Coltrane
"4 luni, 3 saptamâni si 2 zile",1185783.0,Star1,Anamaria Marinca
Star Trek,257730019.0,Star1,Chris Pine
In Bruges,7757130.0,Star1,Colin Farrell
The Man from Earth,,Star1,David Lee Smith
Letters from Iwo Jima,13756082.0,Star1,Ken Watanabe
The Fall,2280348.0,Star1,Lee Pace
Life of Pi,124987023.0,Star1,Suraj Sharma
Fantastic Mr. Fox,21002919.0,Star1,George Clooney
C.R.A.Z.Y.,,Star1,Michel Côté
Les choristes,3635164.0,Star1,Gérard Jugnot
Iron Man,318412101.0,Star1,Robert Downey Jr.
Shaun of the Dead,13542874.0,Star1,Simon Pegg
Gegen die Wand,,Star1,Birol Ünel
Mystic River,90135191.0,Star1,Sean Penn
Harry Potter and the Prisoner of Azkaban,249358727.0,Star1,Daniel Radcliffe
Ying xiong,53710019.0,Star1,Jet Li
Hable con ella,9284265.0,Star1,Rosario Flores
No Man's Land,1059830.0,Star1,Branko Djuric
Cowboy Bebop: Tengoku no tobira,1000045.0,Star1,Tensai Okamura
The Bourne Identity,121661683.0,Star1,Franka Potente
Nueve reinas,1221261.0,Star1,Ricardo Darín
Children of Men,35552383.0,Star1,Julianne Moore
Almost Famous,32534850.0,Star1,Billy Crudup
Mulholland Dr.,7220243.0,Star1,Naomi Watts
Toy Story 2,245852179.0,Star1,Ash Brannon
